"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.9753,3.9753,1,1.496,1.496,0.5,0.25
3.9766,3.9766,1,1.5,1.5,0.5,0.25
3.9778,3.9779,1,1.504,1.504,0.5,0.25
3.9791,3.9791,1,1.508,1.508,0.5,0.25
3.9877,3.9877,1,1.512,1.512,0.5,0.25
3.9881,3.9881,1,1.516,1.516,0.5,0.25
3.9884,3.9885,1,1.52,1.52,0.5,0.25
3.9888,3.9889,1,1.524,1.524,0.5,0.25
3.9892,3.9893,1,1.528,1.528,0.5,0.25
3.9896,3.9897,1,1.532,1.532,0.5,0.25
3.9899,3.99,1,1.536,1.536,0.5,0.25
3.9903,3.9904,1,1.54,1.54,0.5,0.25
3.9907,3.9908,1,1.544,1.544,0.5,0.25
3.9911,3.9912,1,1.548,1.548,0.5,0.25
3.9914,3.9916,1,1.552,1.552,0.5,0.25
3.9918,3.992,1,1.556,1.556,0.5,0.25
3.9922,3.9923,1,1.56,1.56,0.5,0.25
3.9926,3.9927,1,1.564,1.564,0.5,0.25
3.9929,3.9931,1,1.568,1.568,0.5,0.25
3.9933,3.9935,1,1.572,1.572,0.5,0.25
3.9937,3.9939,1,1.576,1.576,0.5,0.25
3.9941,3.9943,1,1.58,1.58,0.5,0.25
3.9944,3.9946,1,1.584,1.584,0.5,0.25
3.9948,3.995,1,1.588,1.588,0.5,0.25
3.9952,3.9954,1,1.592,1.592,0.5,0.25
3.9956,3.9958,1,1.596,1.596,0.5,0.25
3.996,3.9962,1,1.6,1.6,0.5,0.25
3.9963,3.9966,1,1.604,1.604,0.5,0.25
3.9967,3.9969,1,1.608,1.608,0.5,0.25
3.9971,3.9973,1,1.612,1.612,0.5,0.25
3.9975,3.9977,1,1.616,1.616,0.5,0.25
3.9978,3.9981,1,1.62,1.62,0.5,0.25
3.9982,3.9985,1,1.624,1.624,0.5,0.25
3.9986,3.9989,1,1.628,1.628,0.5,0.25
3.999,3.9992,1,1.632,1.632,0.5,0.25
3.9993,3.9996,1,1.636,1.636,0.5,0.25
3.9996,4.0003,1,1.64,1.64,0.5,0.25
3.9997,4.0004,1,1.644,1.644,0.5,0.25
3.9998,4.0004,1,1.648,1.648,0.5,0.25
4,4.0005,1,1.652,1.652,0.5,0.25
4.0001,4.0006,1,1.656,1.656,0.5,0.25
4.0002,4.0007,1,1.66,1.66,0.5,0.25
4.0003,4.0008,1,1.664,1.664,0.5,0.25
4.0004,4.0009,1,1.668,1.668,0.5,0.25
4.0006,4.0009,1,1.672,1.672,0.5,0.25
4.0007,4.001,1,1.676,1.676,0.5,0.25
4.0008,4.0011,1,1.68,1.68,0.5,0.25
4.0007,4.0013,1,1.684,1.684,0.5,0.25
4.0008,4.0013,1,1.688,1.688,0.5,0.25
4.0008,4.0012,1,1.692,1.692,0.5,0.25
4.0008,4.0012,1,1.696,1.696,0.5,0.25
4.0009,4.0012,1,1.7,1.7,0.5,0.25
4.0009,4.0012,1,1.704,1.704,0.5,0.25
4.0009,4.0011,1,1.708,1.708,0.5,0.25
4.001,4.0011,1,1.712,1.712,0.5,0.25
4.001,4.0011,1,1.716,1.716,0.5,0.25
4.001,4.001,1,1.72,1.72,0.5,0.25
4.0011,4.001,1,1.724,1.724,0.5,0.25
4.0011,4.0009,1,1.728,1.728,0.5,0.25
4.0011,4.0008,1,1.732,1.732,0.5,0.25
4.0009,4.0007,1,1.736,1.736,0.5,0.25
4.0009,4.0006,1,1.74,1.74,0.5,0.25
4.0009,4.0005,1,1.744,1.744,0.5,0.25
4.001,4.0004,1,1.748,1.748,0.5,0.25
4.001,4.0003,1,1.752,1.752,0.5,0.25
4.0001,4.0008,1,1.756,1.756,0.5,0.25
4.0002,4.0006,1,1.76,1.76,0.5,0.25
4.0003,4.0005,1,1.764,1.764,0.5,0.25
4.0004,4.0003,1,1.768,1.768,0.5,0.25
4.0005,4.0002,1,1.772,1.772,0.5,0.25
nan,nan,0,1.776,1.776,0.5,0.25
nan,nan,0,1.78,1.78,0.5,0.25
4.0009,3.9997,1,1.784,1.784,0.5,0.25
4.001,3.9995,1,1.788,1.788,0.5,0.25
4.0011,3.9994,1,1.792,1.792,0.5,0.25
4.0013,3.9992,1,1.796,1.796,0.5,0.25
4.0014,3.999,1,1.8,1.8,0.5,0.25
4.0015,3.9989,1,1.804,1.804,0.5,0.25
4.0016,3.9987,1,1.808,1.808,0.5,0.25
