"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.013535,1,2.875,2.875,0.5,0.25
0.013568,1,2.88,2.88,0.5,0.25
0.013605,1,2.885,2.885,0.5,0.25
0.013645,1,2.89,2.89,0.5,0.25
0.013688,1,2.895,2.895,0.5,0.25
0.013733,1,2.9,2.9,0.5,0.25
0.013782,1,2.905,2.905,0.5,0.25
0.013834,1,2.91,2.91,0.5,0.25
0.013889,1,2.915,2.915,0.5,0.25
0.013947,1,2.92,2.92,0.5,0.25
0.014008,1,2.925,2.925,0.5,0.25
0.014072,1,2.93,2.93,0.5,0.25
0.014139,1,2.935,2.935,0.5,0.25
0.01421,1,2.94,2.94,0.5,0.25
0.013569,1,2.945,2.945,0.5,0.25
0.013691,1,2.95,2.95,0.5,0.25
0.013821,1,2.955,2.955,0.5,0.25
0.013958,1,2.96,2.96,0.5,0.25
0.014103,1,2.965,2.965,0.5,0.25
0.014256,1,2.97,2.97,0.5,0.25
0.014415,1,2.975,2.975,0.5,0.25
0.014583,1,2.98,2.98,0.5,0.25
0.014758,1,2.985,2.985,0.5,0.25
